Station,Year,Month,Maximum Temperature (Deg.Cel),Minimum Temperature (Deg.Cel),Total Rainfall (mm),Humidity (percent),Wind Speed (m/s),Cloud Coverage (Octs),Sunshine (Hours)
Dhaka (11111),2012,11,28.74,19.14,68.0,68.07,1.0,2.5,5.62
Dhaka (11111),2012,12,23.96,14.54,5.0,77.13,0.72,1.03,3.01
Dhaka (11111),2013,1,24.23,12.25,0.0,65.42,0.78,0.42,4.5
Dhaka (11111),2013,2,28.91,17.51,8.0,55.89,1.1,1.18,7.02
Dhaka (11111),2013,3,33.39,22.08,26.0,55.42,1.18,2.0,7.91
Dhaka (11111),2013,4,34.22,24.36,32.0,63.87,1.35,3.53,6.49
Dhaka (11111),2013,5,31.73,24.82,378.0,78.97,1.49,6.58,3.55
Dhaka (11111),2013,6,33.7,27.16,325.0,76.77,1.22,5.67,4.76
Dhaka (11111),2013,7,32.68,27.04,302.0,77.61,1.24,6.32,4.43
Dhaka (11111),2013,8,32.04,26.24,212.0,80.9,1.23,6.32,3.3
Dhaka (11111),2013,9,32.63,26.33,172.0,81.43,0.88,5.83,3.64
Dhaka (11111),2013,10,31.51,24.37,131.0,78.94,0.89,4.94,4.53
Dhaka (11111),2013,11,30.18,18.54,0.0,66.8,0.85,0.87,6.99
Dhaka (11111),2013,12,26.25,15.63,4.0,72.87,0.8,1.19,4.08
Dhaka (11111),2014,1,24.29,13.67,0.0,72.77,1.1,0.84,4.21
Dhaka (11111),2014,2,27.17,15.76,12.0,62.11,1.21,1.39,6.26
Dhaka (11111),2014,3,32.4,20.55,10.0,52.26,1.15,1.81,8.62
Dhaka (11111),2014,4,36.44,25.11,80.0,56.23,1.08,2.37,8.59
Dhaka (11111),2014,5,35.18,26.65,147.0,68.87,1.41,4.81,6.7
Dhaka (11111),2014,6,33.23,26.48,342.0,78.0,1.07,5.97,3.27
Dhaka (11111),2014,7,32.87,26.88,212.0,77.19,1.15,6.42,3.91
Dhaka (11111),2014,8,32.16,26.3,391.0,82.26,0.98,6.52,3.21
Dhaka (11111),2014,9,32.86,26.45,156.0,76.53,1.02,5.4,4.83
Dhaka (11111),2014,10,32.2,24.05,49.0,72.23,0.85,3.23,5.77
Dhaka (11111),2014,11,30.22,19.68,0.0,66.87,0.63,1.23,5.23
Dhaka (11111),2014,12,24.52,15.09,0.0,77.74,0.65,1.58,2.83
Dhaka (11111),2015,1,24.77,14.6,3.0,70.58,1.05,1.74,4.39
Dhaka (11111),2015,2,28.42,17.02,17.0,63.32,1.02,1.57,5.41
Dhaka (11111),2015,3,32.11,20.68,4.0,52.87,1.22,1.55,8.49
Dhaka (11111),2015,4,32.82,23.39,166.0,68.37,1.29,4.9,6.38
Dhaka (11111),2015,5,34.07,25.47,185.0,71.35,1.27,4.77,6.43
Dhaka (11111),2015,6,32.75,26.69,375.0,77.6,1.41,5.83,4.69
Dhaka (11111),2015,7,31.73,26.09,623.0,81.84,1.14,6.84,2.46
Dhaka (11111),2015,8,32.62,26.9,395.0,79.71,1.17,6.48,3.42
Dhaka (11111),2015,9,32.86,26.05,346.0,78.47,0.81,5.57,4.2
Dhaka (11111),2015,10,32.39,24.17,51.0,73.29,0.86,3.58,6.05
Dhaka (11111),2015,11,30.23,19.93,0.0,69.67,0.7,1.53,6.18
Dhaka (11111),2015,12,25.94,16.26,1.0,68.55,0.7,1.74,4.58
Dhaka (11111),2016,1,24.87,14.15,3.0,68.87,1.19,0.97,5.05
Dhaka (11111),2016,2,29.8,19.08,13.0,63.45,1.08,2.14,6.17
Dhaka (11111),2016,3,33.11,22.56,55.0,59.58,1.28,2.74,7.14
Dhaka (11111),2016,4,35.14,26.91,55.0,72.4,1.45,4.2,7.37
Dhaka (11111),2016,5,33.68,24.9,212.0,74.48,1.43,5.13,5.76
Dhaka (11111),2016,6,33.93,27.02,212.0,75.57,1.09,5.67,5.5
Dhaka (11111),2016,7,32.23,26.52,405.0,82.68,1.08,6.71,3.36
Dhaka (11111),2016,8,33.28,26.84,171.0,77.74,1.06,6.0,4.83
Dhaka (11111),2016,9,32.87,26.62,138.0,82.13,0.79,5.87,4.0
Dhaka (11111),2016,10,33.07,25.28,76.0,74.77,1.0,4.48,5.28
Dhaka (11111),2016,11,29.6,20.23,25.0,73.0,0.71,2.23,5.64
Dhaka (11111),2016,12,27.76,17.0,0.0,72.29,0.81,0.65,5.23
Dhaka (11111),2017,1,26.37,14.86,0.0,62.84,0.98,0.39,6.17
Dhaka (11111),2017,2,29.57,17.58,2.0,57.21,0.87,1.04,7.32
Dhaka (11111),2017,3,30.48,20.39,100.0,67.16,1.06,3.61,6.1
Dhaka (11111),2017,4,32.79,23.94,228.0,72.97,1.44,5.0,6.06
Dhaka (11111),2017,5,34.5,25.93,188.0,73.23,1.01,4.87,6.81
Dhaka (11111),2017,6,33.04,26.52,414.0,80.2,1.11,6.47,4.2
Dhaka (11111),2017,7,31.98,26.47,584.0,83.84,0.9,6.84,3.01
Dhaka (11111),2017,8,32.59,26.75,544.0,83.06,0.85,6.65,3.41
Dhaka (11111),2017,9,33.08,26.88,381.0,82.2,0.92,6.13,3.82
Dhaka (11111),2017,10,31.99,24.82,412.0,79.87,1.1,4.58,4.87
Dhaka (11111),2017,11,30.19,20.56,6.0,67.73,1.02,1.8,5.58
Dhaka (11111),2017,12,26.76,17.07,33.0,76.61,0.49,1.26,4.4
Dhaka (11111),2018,1,23.6,12.65,0.0,68.97,1.03,0.3,5.34
Dhaka (11111),2018,2,29.22,18.09,20.0,61.54,1.1,1.18,5.52
Dhaka (11111),2018,3,33.32,22.3,3.0,59.77,1.35,2.42,7.38
Dhaka (11111),2018,4,33.03,22.54,309.0,69.67,1.43,4.43,6.81
Dhaka (11111),2018,5,32.33,24.11,392.0,79.16,1.95,6.03,4.74
Dhaka (11111),2018,6,33.54,26.17,366.0,81.53,1.9,6.4,4.25
Dhaka (11111),2018,7,32.79,26.71,354.0,81.71,1.75,6.97,3.47
Dhaka (11111),2018,8,33.8,27.15,141.0,78.03,1.72,6.58,4.45
Dhaka (11111),2018,9,34.13,26.97,76.0,77.33,1.77,5.3,5.4
Dhaka (11111),2018,10,31.99,23.63,45.0,72.23,1.81,4.03,5.21
Dhaka (11111),2018,11,30.29,19.76,13.0,68.7,1.3,1.6,5.22
Dhaka (11111),2018,12,26.14,16.21,13.0,66.13,1.44,2.16,4.34
Dhaka (11111),2019,1,27.17,14.61,1.0,59.97,2.71,0.68,6.01
Dhaka (11111),2019,2,28.35,16.87,115.0,63.11,3.4,2.11,6.42
Dhaka (11111),2019,3,31.51,21.12,39.0,61.65,3.67,2.77,7.37
Dhaka (11111),2019,4,33.68,23.65,212.0,69.67,3.91,3.87,6.68
Dhaka (11111),2019,5,34.59,25.65,231.0,73.16,4.01,5.13,6.79
Dhaka (11111),2019,6,33.58,26.56,242.0,78.93,3.9,5.63,3.93
Dhaka (11111),2019,7,32.97,26.9,383.0,82.39,3.87,6.65,3.32
Dhaka (11111),2019,8,33.75,27.16,223.0,79.03,3.59,6.06,5.07
Dhaka (11111),2019,9,33.34,26.51,161.0,80.57,3.14,6.4,3.6
Dhaka (11111),2019,10,32.06,24.43,188.0,78.16,2.67,4.16,5.34
Dhaka (11111),2019,11,30.32,20.79,37.0,74.87,2.48,2.37,5.28
Dhaka (11111),2019,12,24.76,15.42,5.0,74.45,2.59,2.65,3.63
Dhaka (11111),2020,1,24.02,14.35,21.0,76.61,,2.65,4.02
Dhaka (11111),2020,2,27.45,16.27,1.0,59.41,,1.76,6.74
Dhaka (11111),2020,3,32.29,20.88,30.0,57.35,,3.0,7.95
Dhaka (11111),2020,4,33.83,23.63,127.0,72.53,,4.37,6.2
Dhaka (11111),2020,5,33.39,24.77,301.0,80.52,,5.55,5.66
Dhaka (11111),2020,6,33.38,26.78,271.0,81.63,,6.33,4.4
Dhaka (11111),2020,7,33.02,27.07,404.0,85.26,,6.65,4.25
Dhaka (11111),2020,8,32.94,27.2,285.0,84.65,,6.71,4.17
Dhaka (11111),2020,9,33.54,27.25,140.0,81.6,,5.87,3.71
Dhaka (11111),2020,10,33.16,25.85,300.0,81.94,,4.35,4.62
Dhaka (11111),2020,11,30.77,20.17,40.0,69.4,,2.03,5.8
Dhaka (11111),2020,12,25.97,16.05,0.0,73.81,,0.58,4.73
Dhaka (11111),2021,1,25.58,14.84,0.0,72.45,,0.65,5.37
Dhaka (11111),2021,2,29.53,16.98,0.0,60.61,,1.0,7.21
Dhaka (11111),2021,3,34.47,23.2,3.0,57.84,,2.23,6.86
Dhaka (11111),2021,4,36.13,25.27,39.0,60.83,,2.9,8.0
Dhaka (11111),2021,5,34.97,25.98,216.0,69.81,,5.03,7.09
Dhaka (11111),2021,6,32.5,25.86,546.0,83.13,,6.6,3.38
Dhaka (11111),2021,7,32.84,26.68,333.0,82.87,,6.9,3.58
Dhaka (11111),2021,8,33.23,26.72,249.0,83.35,,6.87,3.24
Dhaka (11111),2021,9,33.89,26.67,141.0,80.03,,6.27,3.77
Dhaka (11111),2021,10,33.53,25.63,166.0,77.32,,4.9,4.72
Dhaka (11111),2021,11,30.0,19.6,27.0,68.73,,1.73,5.76
Dhaka (11111),2021,12,26.51,17.1,153.0,72.77,,2.48,3.75
Dhaka (11111),2022,1,25.15,15.34,12.0,71.87,,2.65,3.81
Dhaka (11111),2022,2,27.15,16.08,20.0,62.71,,2.29,6.18
Dhaka (11111),2022,3,33.92,23.03,14.0,55.81,,1.87,7.69
Dhaka (11111),2022,4,34.1,25.98,106.0,72.0,,5.23,5.96
Dhaka (11111),2022,5,33.5,25.44,217.0,75.39,,5.45,4.3
Dhaka (11111),2022,6,33.37,27.05,168.0,79.13,,6.83,3.15
Dhaka (11111),2022,7,34.27,27.73,51.0,74.94,,5.81,4.81
Dhaka (11111),2022,8,34.21,27.36,130.0,75.03,,5.45,5.4
Dhaka (11111),2022,9,33.21,26.68,282.0,80.97,,5.8,3.64
Dhaka (11111),2022,10,32.72,24.91,297.0,73.97,,3.71,5.51
Dhaka (11111),2022,11,31.04,20.77,0.0,63.77,,1.7,5.99
Dhaka (11111),2022,12,27.41,17.24,4.0,69.23,,0.52,4.45
Dinajpur (10120),2012,1,22.18,10.71,5.0,79.23,0.82,2.19,5.0
Dinajpur (10120),2012,2,26.69,13.1,5.0,67.28,0.93,0.59,7.91
Dinajpur (10120),2012,3,31.11,17.23,3.0,62.39,0.81,0.55,8.25
Dinajpur (10120),2012,4,32.95,21.68,57.0,67.67,0.95,2.97,7.91
Dinajpur (10120),2012,5,34.6,24.31,79.0,72.74,0.93,3.77,7.28
Dinajpur (10120),2012,6,33.16,25.71,380.0,82.1,0.92,6.5,4.16
Dinajpur (10120),2012,7,32.27,26.74,435.0,83.45,0.88,6.61,4.4
Dinajpur (10120),2012,8,33.3,27.05,106.0,81.42,0.88,5.68,6.71
Dinajpur (10120),2012,9,32.56,25.81,349.0,84.0,0.86,5.63,5.13
Dinajpur (10120),2012,10,31.57,21.59,91.0,80.55,0.75,2.58,7.48
Dinajpur (10120),2012,11,28.56,15.02,1.0,75.37,0.57,1.43,6.52
Dinajpur (10120),2012,12,21.94,11.75,0.0,84.97,0.56,1.32,2.63
Dinajpur (10120),2013,1,22.51,8.51,0.0,78.13,0.78,0.81,5.15
Dinajpur (10120),2013,2,27.73,13.88,10.0,69.64,0.81,1.86,7.42
Dinajpur (10120),2013,3,31.96,17.95,0.0,64.29,0.84,0.77,8.86
Dinajpur (10120),2013,4,32.5,21.28,99.0,69.2,0.92,3.3,7.01
Dinajpur (10120),2013,5,31.75,23.87,133.0,80.97,0.98,6.0,4.43
Dinajpur (10120),2013,6,33.86,26.45,370.0,81.2,0.81,5.7,5.45
Dinajpur (10120),2013,7,33.14,26.89,255.0,82.13,0.92,6.16,5.13
Dinajpur (10120),2013,8,32.53,26.13,469.0,85.06,0.93,6.32,4.55
Dinajpur (10120),2013,9,33.5,26.02,182.0,81.73,0.87,4.87,6.44
Dinajpur (10120),2013,10,30.39,22.3,309.0,85.23,0.86,4.74,5.07
Dinajpur (10120),2013,11,29.15,15.11,0.0,77.97,0.92,1.23,7.68
Dinajpur (10120),2013,12,24.39,12.28,0.0,81.16,0.89,0.71,3.63
Dinajpur (10120),2014,1,22.42,11.19,0.0,84.16,1.01,1.52,3.35
Dinajpur (10120),2014,2,24.38,12.46,31.0,76.0,0.93,1.93,5.55
Dinajpur (10120),2014,3,30.54,17.05,2.0,64.71,1.0,1.16,8.14
Dinajpur (10120),2014,4,34.92,21.21,3.0,62.33,1.03,1.43,8.9
Dinajpur (10120),2014,5,34.56,23.97,186.0,72.26,1.07,3.39,6.45
Dinajpur (10120),2014,6,33.27,25.9,257.0,82.93,0.9,5.87,3.53
Dinajpur (10120),2014,7,33.38,26.86,293.0,82.48,1.01,6.16,4.48
Dinajpur (10120),2014,8,32.63,26.55,181.0,84.97,0.87,6.45,3.77
Dinajpur (10120),2014,9,31.91,25.27,424.0,85.83,0.83,5.63,4.82
Dinajpur (10120),2014,10,31.85,22.27,21.0,82.16,0.8,2.52,7.32
Dinajpur (10120),2014,11,29.55,16.2,0.0,78.33,0.65,0.5,5.68
Dinajpur (10120),2014,12,24.28,12.45,0.0,83.97,0.89,1.29,3.99
Dinajpur (10120),2015,1,22.21,11.42,25.0,83.35,0.95,2.68,4.23
Dinajpur (10120),2015,2,27.02,14.35,3.0,74.89,0.96,2.0,5.45
Dinajpur (10120),2015,3,30.75,17.79,28.0,66.19,1.11,2.13,6.63
Dinajpur (10120),2015,4,31.01,20.99,91.0,74.6,1.02,3.9,5.6
Dinajpur (10120),2015,5,32.97,23.96,376.0,78.32,1.0,4.58,5.64
Dinajpur (10120),2015,6,32.75,26.11,273.0,81.9,1.04,5.97,4.76
Dinajpur (10120),2015,7,33.24,26.4,328.0,81.81,0.97,5.81,4.43
Dinajpur (10120),2015,8,32.39,26.35,590.0,86.16,0.98,6.68,2.97
Dinajpur (10120),2015,9,33.1,25.82,251.0,83.63,0.79,4.83,5.47
Dinajpur (10120),2015,10,32.71,22.71,0.0,79.39,0.82,1.68,7.64
Dinajpur (10120),2015,11,30.04,17.2,0.0,78.4,0.67,1.17,6.5
Dinajpur (10120),2015,12,24.67,11.61,0.0,81.65,0.74,0.97,3.98
Dinajpur (10120),2016,1,23.43,10.28,11.0,80.97,0.75,1.13,3.83
Dinajpur (10120),2016,2,28.2,13.98,0.0,72.86,0.86,0.62,5.73
Dinajpur (10120),2016,3,31.87,18.81,25.0,66.1,1.18,1.35,6.42
Dinajpur (10120),2016,4,34.65,22.98,26.0,68.37,1.12,2.77,5.64
Dinajpur (10120),2016,5,32.29,23.34,221.0,77.71,0.9,4.13,5.27
Dinajpur (10120),2016,6,33.6,26.17,129.0,79.73,0.74,4.73,4.93
Dinajpur (10120),2016,7,32.28,26.51,446.0,85.81,0.8,6.45,2.97
Dinajpur (10120),2016,8,34.01,26.91,119.0,79.42,0.92,5.35,6.39
Dinajpur (10120),2016,9,32.31,25.64,473.0,86.63,0.66,6.03,4.41
Dinajpur (10120),2016,10,32.48,23.28,199.0,82.39,0.64,2.48,7.04
Dinajpur (10120),2016,11,30.4,16.74,0.0,77.23,0.58,0.73,8.11
Dinajpur (10120),2016,12,26.06,13.3,11.0,83.19,0.74,0.39,5.48
Dinajpur (10120),2017,1,24.81,10.89,5.0,79.23,0.76,0.74,6.13
Dinajpur (10120),2017,2,27.78,13.4,0.0,71.71,0.88,0.46,7.37
Dinajpur (10120),2017,3,28.63,16.75,102.0,72.52,1.08,3.29,5.95
Dinajpur (10120),2017,4,31.07,21.48,192.0,77.07,1.08,4.2,4.81
Dinajpur (10120),2017,5,32.83,23.75,175.0,79.13,0.94,4.81,5.89
Dinajpur (10120),2017,6,34.16,26.04,159.0,79.63,0.85,5.47,5.12
Dinajpur (10120),2017,7,32.61,26.6,195.0,84.16,0.97,6.29,3.58
Dinajpur (10120),2017,8,33.07,26.75,655.0,84.32,0.6,5.42,3.85
Dinajpur (10120),2017,9,33.61,26.37,125.0,83.63,0.68,5.23,4.42
Dinajpur (10120),2017,10,31.53,23.61,144.0,84.48,0.71,3.19,5.41
Dinajpur (10120),2017,11,29.41,16.39,0.0,77.77,0.75,0.9,7.41
Dinajpur (10120),2017,12,26.57,13.56,0.0,80.58,0.55,0.65,5.52
Dinajpur (10120),2018,1,20.54,8.8,0.0,84.52,0.73,0.32,3.64
Dinajpur (10120),2018,2,27.23,13.59,0.0,72.75,0.89,0.57,5.03
Dinajpur (10120),2018,3,31.23,18.5,29.0,68.68,0.9,0.97,8.1
Dinajpur (10120),2018,4,31.1,21.74,70.0,76.9,0.72,3.73,6.93
Dinajpur (10120),2018,5,31.76,23.13,155.0,79.03,0.73,4.26,5.88
Dinajpur (10120),2018,6,33.98,25.96,124.0,79.47,0.64,5.13,5.39
Dinajpur (10120),2018,7,33.51,27.03,165.0,81.26,0.93,5.65,4.63
Dinajpur (10120),2018,8,33.87,26.98,164.0,81.65,0.64,5.58,5.6
Dinajpur (10120),2018,9,33.34,26.11,195.0,81.73,0.94,3.97,6.11
Dinajpur (10120),2018,10,31.33,21.48,8.0,80.29,1.07,1.81,6.58
Dinajpur (10120),2018,11,29.6,15.71,0.0,76.63,0.99,0.33,7.8
Dinajpur (10120),2018,12,25.51,11.35,10.0,76.87,1.0,0.71,
Dinajpur (10120),2019,1,25.8,10.44,0.0,72.42,2.22,,7.61
Dinajpur (10120),2019,2,26.55,13.76,27.0,73.21,2.23,,7.23
Dinajpur (10120),2019,3,30.7,16.6,0.0,63.77,2.27,,8.63
Dinajpur (10120),2019,4,31.36,21.48,130.0,75.4,2.29,3.5,6.8
Dinajpur (10120),2019,5,34.05,23.75,187.0,77.16,2.73,4.32,6.33
Dinajpur (10120),2019,6,34.17,25.57,293.0,79.93,2.21,4.83,5.91
Dinajpur (10120),2019,7,32.86,26.56,680.0,83.48,2.26,6.16,4.36
Dinajpur (10120),2019,8,34.61,26.99,328.0,81.06,2.22,4.94,6.98
Dinajpur (10120),2019,9,31.92,25.72,492.0,86.8,2.03,5.33,4.13
Dinajpur (10120),2019,10,30.71,22.68,151.0,83.94,1.8,3.87,5.41
Dinajpur (10120),2019,11,29.98,18.22,0.0,79.7,2.05,1.23,7.04
Dinajpur (10120),2019,12,23.37,11.4,0.0,82.45,2.18,1.55,5.1
Dinajpur (10120),2020,1,22.43,10.92,5.0,82.84,,1.48,3.65
Dinajpur (10120),2020,2,25.9,11.93,7.0,74.07,,1.03,5.57
Dinajpur (10120),2020,3,29.65,17.55,29.0,70.9,,1.65,7.97
Dinajpur (10120),2020,4,31.34,20.14,95.0,73.27,,2.67,7.43
Dinajpur (10120),2020,5,31.64,22.85,466.0,82.0,,4.71,5.91
Dinajpur (10120),2020,6,33.19,26.21,403.0,84.03,,6.2,3.4
Dinajpur (10120),2020,7,31.94,26.46,618.0,87.26,,7.23,2.69
Dinajpur (10120),2020,8,34.05,27.08,318.0,81.35,,6.16,5.37
Dinajpur (10120),2020,9,31.89,25.98,831.0,88.23,,6.6,2.47
Dinajpur (10120),2020,10,33.63,24.35,95.0,81.16,,2.84,7.39
Dinajpur (10120),2020,11,29.72,16.22,3.0,75.43,,0.97,7.68
Dinajpur (10120),2020,12,24.99,12.53,0.0,81.84,,0.52,5.2
Dinajpur (10120),2021,1,22.7,11.15,0.0,83.61,,0.9,3.66
Dinajpur (10120),2021,2,27.93,12.93,0.0,73.11,,0.29,6.28
Dinajpur (10120),2021,3,31.83,18.29,0.0,66.81,,1.42,7.18
Dinajpur (10120),2021,4,34.1,21.76,22.0,69.93,,1.6,7.49
Dinajpur (10120),2021,5,32.11,23.94,278.0,78.35,,5.0,4.87
Dinajpur (10120),2021,6,33.34,26.02,273.0,81.33,,5.67,5.21
Dinajpur (10120),2021,7,33.52,27.0,180.0,82.32,,6.0,4.5
Dinajpur (10120),2021,8,33.21,26.55,407.0,86.48,,6.9,3.52
Dinajpur (10120),2021,9,33.95,26.04,144.0,81.47,,4.47,6.74
Dinajpur (10120),2021,10,32.2,23.74,442.0,83.52,,3.0,6.05
Dinajpur (10120),2021,11,29.51,16.3,0.0,77.77,,0.1,8.17
Dinajpur (10120),2021,12,26.56,12.95,5.0,76.87,,1.39,6.84
Dinajpur (10120),2022,1,22.25,11.4,18.0,84.0,,1.55,4.47
Dinajpur (10120),2022,2,24.52,12.26,61.0,76.0,,1.57,6.91
Dinajpur (10120),2022,3,32.45,19.16,0.0,69.1,,0.94,7.98
Dinajpur (10120),2022,4,31.68,23.28,77.0,79.13,,4.5,4.57
Dinajpur (10120),2022,5,32.54,23.77,413.0,79.58,,4.87,5.41
Dinajpur (10120),2022,6,32.21,24.91,425.0,83.53,,6.53,2.73
Dinajpur (10120),2022,7,34.66,27.33,182.0,78.06,,4.87,6.71
Dinajpur (10120),2022,8,33.6,26.85,237.0,80.77,,5.03,5.67
Dinajpur (10120),2022,9,33.05,26.16,227.0,84.43,,5.83,4.37
Dinajpur (10120),2022,10,32.33,22.84,97.0,79.65,,2.71,7.33
Dinajpur (10120),2022,11,30.28,16.84,0.0,76.43,,0.37,8.29
Dinajpur (10120),2022,12,26.67,13.44,0.0,78.94,,0.26,4.0
Faridpur (11505),2012,1,23.93,13.22,30.0,76.97,1.02,1.87,5.64
Faridpur (11505),2012,2,28.92,14.13,1.0,66.62,1.0,0.55,8.25
Faridpur (11505),2012,3,33.79,20.49,4.0,64.35,1.21,0.94,7.9
Faridpur (11505),2012,4,34.17,23.19,168.0,71.63,1.29,2.73,8.08
Faridpur (11505),2012,5,35.02,25.27,109.0,76.65,1.21,2.87,3.72
Faridpur (11505),2012,6,33.72,26.53,128.0,81.7,1.31,5.03,5.81
Faridpur (11505),2012,7,32.45,26.48,252.0,85.61,1.22,5.61,5.1
Faridpur (11505),2012,8,32.32,26.56,221.0,84.77,1.05,5.23,5.15
Faridpur (11505),2012,9,32.77,26.43,165.0,84.53,1.18,4.47,5.54
Faridpur (11505),2012,10,32.2,23.6,83.0,79.9,0.89,2.87,7.24
Faridpur (11505),2012,11,28.55,18.29,111.0,77.53,0.87,2.1,7.04
Faridpur (11505),2012,12,24.01,13.31,7.0,83.26,0.89,1.06,5.04
Faridpur (11505),2013,1,23.94,10.45,0.0,76.9,0.97,0.55,6.09
Faridpur (11505),2013,2,28.6,15.08,12.0,69.79,1.13,1.46,7.84
Faridpur (11505),2013,3,33.82,20.27,12.0,65.0,1.02,1.13,7.97
Faridpur (11505),2013,4,35.02,23.71,55.0,68.37,1.31,2.4,7.19
Faridpur (11505),2013,5,32.19,24.59,380.0,84.03,1.43,5.87,3.72
Faridpur (11505),2013,6,33.74,26.73,291.0,82.47,1.05,4.8,5.8
Faridpur (11505),2013,7,32.6,26.68,198.0,83.61,1.2,5.16,5.03
Faridpur (11505),2013,8,32.04,26.3,264.0,85.65,1.12,5.9,3.91
Faridpur (11505),2013,9,32.82,26.29,225.0,85.43,0.91,4.8,4.4
Faridpur (11505),2013,10,31.28,24.29,202.0,85.42,0.82,4.42,4.68
Faridpur (11505),2013,11,29.91,17.57,0.0,76.2,0.81,0.7,8.62
Faridpur (11505),2013,12,26.3,14.46,0.0,79.68,0.85,0.87,5.61
Faridpur (11505),2014,1,23.16,11.86,0.0,83.29,0.93,1.52,4.66
Faridpur (11505),2014,2,27.1,14.06,12.0,74.86,1.09,1.0,6.63
Faridpur (11505),2014,3,32.76,18.85,0.0,65.0,1.05,1.35,8.17
Faridpur (11505),2014,4,37.06,23.87,29.0,64.37,1.07,1.5,8.42
Faridpur (11505),2014,5,35.52,25.41,191.0,74.77,1.25,3.58,6.15
Faridpur (11505),2014,6,33.17,26.18,446.0,84.83,1.02,5.4,3.16
Faridpur (11505),2014,7,32.54,26.66,246.0,85.29,1.27,5.87,3.62
Faridpur (11505),2014,8,32.4,26.35,381.0,86.42,1.12,6.0,3.46
Faridpur (11505),2014,9,32.88,26.29,165.0,83.73,1.05,4.57,5.74
Faridpur (11505),2014,10,32.49,23.59,82.0,80.81,0.65,2.48,7.48
Faridpur (11505),2014,11,30.43,17.93,0.0,77.6,0.68,0.87,7.27
Faridpur (11505),2014,12,24.72,13.93,0.0,84.58,0.78,1.9,4.09
Faridpur (11505),2015,1,24.59,13.05,6.0,81.45,0.93,1.9,5.12
Faridpur (11505),2015,2,28.5,15.44,21.0,76.61,0.92,1.14,6.05
Faridpur (11505),2015,3,32.75,18.73,2.0,64.81,0.99,1.48,8.41
Faridpur (11505),2015,4,33.21,22.69,159.0,75.57,1.19,4.67,6.14
Faridpur (11505),2015,5,34.6,25.22,147.0,78.48,1.22,4.26,6.58
Faridpur (11505),2015,6,33.08,26.26,347.0,84.5,1.1,5.37,4.42
Faridpur (11505),2015,7,32.08,26.06,540.0,87.39,1.07,6.55,2.41
Faridpur (11505),2015,8,32.69,26.72,304.0,86.48,1.0,5.97,3.24
Faridpur (11505),2015,9,33.46,26.22,215.0,84.37,0.9,4.8,4.7
Faridpur (11505),2015,10,32.93,23.9,80.0,80.65,0.78,2.68,6.74
Faridpur (11505),2015,11,30.62,19.09,0.0,79.57,0.42,1.1,6.53
Faridpur (11505),2015,12,25.94,15.13,6.0,80.97,0.55,1.97,2.63
Faridpur (11505),2016,1,25.16,11.95,2.0,79.68,0.74,0.9,3.44
Faridpur (11505),2016,2,30.06,17.81,16.0,74.52,0.84,1.86,5.42
Faridpur (11505),2016,3,34.07,21.07,24.0,68.16,0.93,2.03,6.9
Faridpur (11505),2016,4,36.11,26.24,57.0,74.07,1.43,2.9,7.8
Faridpur (11505),2016,5,34.1,24.72,222.0,79.42,1.25,4.52,6.4
Faridpur (11505),2016,6,34.08,26.22,281.0,82.43,1.13,4.43,6.5
Faridpur (11505),2016,7,32.28,26.35,500.0,87.35,1.11,6.0,3.73
Faridpur (11505),2016,8,33.13,26.67,305.0,83.35,1.57,5.19,5.66
Faridpur (11505),2016,9,33.31,26.36,125.0,85.5,0.95,4.8,5.36
Faridpur (11505),2016,10,33.42,24.44,89.0,82.65,0.82,3.03,6.95
Faridpur (11505),2016,11,30.16,18.76,28.0,80.63,0.52,1.33,7.35
Faridpur (11505),2016,12,27.35,15.12,0.0,82.19,0.64,0.32,6.05
Faridpur (11505),2017,1,26.24,12.24,0.0,76.19,0.89,0.42,6.93
Faridpur (11505),2017,2,29.85,15.37,0.0,70.46,0.78,0.54,6.7
Faridpur (11505),2017,3,31.38,19.64,83.0,72.1,1.15,3.1,6.22
Faridpur (11505),2017,4,33.88,23.67,152.0,75.5,1.75,3.87,6.39
Faridpur (11505),2017,5,34.87,25.52,195.0,78.52,1.1,3.61,6.81
Faridpur (11505),2017,6,33.46,26.14,313.0,84.43,1.22,5.27,4.67
Faridpur (11505),2017,7,32.07,26.36,500.0,86.39,0.97,6.32,2.12
Faridpur (11505),2017,8,32.88,26.79,321.0,84.48,0.93,5.77,4.61
Faridpur (11505),2017,9,33.4,26.49,219.0,85.53,0.94,5.27,4.67
Faridpur (11505),2017,10,31.65,24.62,291.0,84.55,0.94,3.65,5.27
Faridpur (11505),2017,11,29.96,18.96,14.0,78.23,0.59,1.37,6.97
Faridpur (11505),2017,12,26.61,15.58,29.0,83.71,0.78,1.45,5.75
Faridpur (11505),2018,1,23.41,10.08,0.0,80.29,0.79,0.45,5.55
Faridpur (11505),2018,2,29.54,15.81,4.0,73.39,0.68,1.11,6.62
Faridpur (11505),2018,3,33.75,20.49,6.0,68.29,1.0,1.48,7.31
Faridpur (11505),2018,4,33.12,22.11,222.0,76.8,1.12,3.13,7.56
Faridpur (11505),2018,5,32.63,23.89,258.0,82.29,1.12,4.81,5.35
Faridpur (11505),2018,6,33.87,25.61,224.0,83.7,0.91,4.77,5.37
Faridpur (11505),2018,7,32.67,26.19,422.0,85.68,1.21,6.03,4.24
